address_id,canonical_address,spoken_variant,locality,pincode,source
blr_aada122f36d9b47e,Jayanagar 8th Block,jayanagar 8th block,Jayanagar 8th Block,,mixed
blr_aada122f36d9b47e,Jayanagar 8th Block,jayanagar eight block,Jayanagar 8th Block,,mixed
blr_aada122f36d9b47e,Jayanagar 8th Block,in jayanagar eighth block,Jayanagar 8th Block,,mixed
blr_aada122f36d9b47e,Jayanagar 8th Block,near jayanagar 8th block,Jayanagar 8th Block,,mixed
blr_5598b9b9a0ae5e79,Jayanagar 4th Block,jayanagar fourth block,Jayanagar 4th Block,,mixed
blr_5598b9b9a0ae5e79,Jayanagar 4th Block,jayanagar four block,Jayanagar 4th Block,,mixed
blr_5598b9b9a0ae5e79,Jayanagar 4th Block,jayanagar 4th block,Jayanagar 4th Block,,mixed
blr_5598b9b9a0ae5e79,Jayanagar 4th Block,in jayanagar fourth block,Jayanagar 4th Block,,mixed
blr_5598b9b9a0ae5e79,Jayanagar 4th Block,near jayanagar four block,Jayanagar 4th Block,,mixed
blr_d1e2c03bedfbedc4,Jayanagar 5th Block,jayanagar 5th block,Jayanagar 5th Block,,mixed
blr_d1e2c03bedfbedc4,Jayanagar 5th Block,jayanagar five block,Jayanagar 5th Block,,mixed
blr_d1e2c03bedfbedc4,Jayanagar 5th Block,jayanagar fifth block,Jayanagar 5th Block,,mixed
blr_d1e2c03bedfbedc4,Jayanagar 5th Block,in jayanagar 5th block,Jayanagar 5th Block,,mixed
blr_d1e2c03bedfbedc4,Jayanagar 5th Block,near jayanagar five block,Jayanagar 5th Block,,mixed
blr_e08f3378a8c45ce3,Jayanagar 7th Block,jayanagar 7th block,Jayanagar 7th Block,,mixed
blr_e08f3378a8c45ce3,Jayanagar 7th Block,jayanagar seventh block,Jayanagar 7th Block,,mixed
blr_e08f3378a8c45ce3,Jayanagar 7th Block,jayanagar seven block,Jayanagar 7th Block,,mixed
blr_e08f3378a8c45ce3,Jayanagar 7th Block,in jayanagar 7th block,Jayanagar 7th Block,,mixed
blr_e08f3378a8c45ce3,Jayanagar 7th Block,near jayanagar seventh block,Jayanagar 7th Block,,mixed
blr_d6fde0cb5ad6b3a4,IAS Officers Colony,ias officers colony,IAS Officers Colony,,mixed
blr_d6fde0cb5ad6b3a4,IAS Officers Colony,in ias officers colony,IAS Officers Colony,,mixed
blr_d6fde0cb5ad6b3a4,IAS Officers Colony,near ias officers colony,IAS Officers Colony,,mixed
blr_d6fde0cb5ad6b3a4,IAS Officers Colony,around ias officers colony,IAS Officers Colony,,mixed
blr_d6fde0cb5ad6b3a4,IAS Officers Colony,ias officers colony area,IAS Officers Colony,,mixed
blr_c8ee346d03fa5c4a,Jayanagar 4T Block,jayanagar 4t block,Jayanagar 4T Block,,mixed
blr_c8ee346d03fa5c4a,Jayanagar 4T Block,in jayanagar 4t block,Jayanagar 4T Block,,mixed
blr_c8ee346d03fa5c4a,Jayanagar 4T Block,near jayanagar 4t block,Jayanagar 4T Block,,mixed
blr_c8ee346d03fa5c4a,Jayanagar 4T Block,around jayanagar 4t block,Jayanagar 4T Block,,mixed
blr_c8ee346d03fa5c4a,Jayanagar 4T Block,jayanagar 4t block area,Jayanagar 4T Block,,mixed
blr_bb70b9f60662d2b9,MICO Layout,mico layout,MICO Layout,,mixed
blr_bb70b9f60662d2b9,MICO Layout,in mico layout,MICO Layout,,mixed
blr_bb70b9f60662d2b9,MICO Layout,near mico layout,MICO Layout,,mixed
blr_bb70b9f60662d2b9,MICO Layout,around mico layout,MICO Layout,,mixed
blr_bb70b9f60662d2b9,MICO Layout,mico layout area,MICO Layout,,mixed
blr_8a863fd3ef52d0b7,Jayanagar 9th Block,jayanagar 9th block,Jayanagar 9th Block,,mixed
blr_8a863fd3ef52d0b7,Jayanagar 9th Block,jayanagar nine block,Jayanagar 9th Block,,mixed
blr_8a863fd3ef52d0b7,Jayanagar 9th Block,jayanagar ninth block,Jayanagar 9th Block,,mixed
blr_8a863fd3ef52d0b7,Jayanagar 9th Block,in jayanagar 9th block,Jayanagar 9th Block,,mixed
blr_8a863fd3ef52d0b7,Jayanagar 9th Block,near jayanagar nine block,Jayanagar 9th Block,,mixed
blr_cfcf9a6ca79062ff,JP Nagar 1st Phase,jp nagar 1st phase,JP Nagar 1st Phase,,mixed
blr_cfcf9a6ca79062ff,JP Nagar 1st Phase,in jp nagar 1st phase,JP Nagar 1st Phase,,mixed
blr_cfcf9a6ca79062ff,JP Nagar 1st Phase,near jp nagar 1st phase,JP Nagar 1st Phase,,mixed
blr_cfcf9a6ca79062ff,JP Nagar 1st Phase,around jp nagar 1st phase,JP Nagar 1st Phase,,mixed
blr_cfcf9a6ca79062ff,JP Nagar 1st Phase,jp nagar 1st phase area,JP Nagar 1st Phase,,mixed
blr_aa3c3ab1fa1c32a3,JP Nagar 2nd Phase,jp nagar 2nd phase,JP Nagar 2nd Phase,,mixed
blr_aa3c3ab1fa1c32a3,JP Nagar 2nd Phase,jp nagar two phase,JP Nagar 2nd Phase,,mixed
blr_aa3c3ab1fa1c32a3,JP Nagar 2nd Phase,jp nagar second phase,JP Nagar 2nd Phase,,mixed
blr_aa3c3ab1fa1c32a3,JP Nagar 2nd Phase,in jp nagar 2nd phase,JP Nagar 2nd Phase,,mixed
blr_aa3c3ab1fa1c32a3,JP Nagar 2nd Phase,near jp nagar two phase,JP Nagar 2nd Phase,,mixed
blr_20c905a2180c54a4,JP Nagar 3rd Phase,jp nagar 3rd phase,JP Nagar 3rd Phase,,mixed
blr_20c905a2180c54a4,JP Nagar 3rd Phase,jp nagar third phase,JP Nagar 3rd Phase,,mixed
blr_20c905a2180c54a4,JP Nagar 3rd Phase,jp nagar three phase,JP Nagar 3rd Phase,,mixed
blr_20c905a2180c54a4,JP Nagar 3rd Phase,in jp nagar 3rd phase,JP Nagar 3rd Phase,,mixed
blr_20c905a2180c54a4,JP Nagar 3rd Phase,near jp nagar third phase,JP Nagar 3rd Phase,,mixed
blr_fe12e3d9691d93df,Koramangala 2nd Block,koramangala second block,Koramangala 2nd Block,,mixed
blr_fe12e3d9691d93df,Koramangala 2nd Block,koramangala 2nd block,Koramangala 2nd Block,,mixed
blr_fe12e3d9691d93df,Koramangala 2nd Block,koram angala 2nd block,Koramangala 2nd Block,,mixed
blr_fe12e3d9691d93df,Koramangala 2nd Block,koramangala two block,Koramangala 2nd Block,,mixed
blr_fe12e3d9691d93df,Koramangala 2nd Block,koraman gala 2nd block,Koramangala 2nd Block,,mixed
blr_5f7153e524c98d4e,MS Palaya,ms palaya,MS Palaya,,mixed
blr_5f7153e524c98d4e,MS Palaya,in ms palaya,MS Palaya,,mixed
blr_5f7153e524c98d4e,MS Palaya,near ms palaya,MS Palaya,,mixed
blr_5f7153e524c98d4e,MS Palaya,around ms palaya,MS Palaya,,mixed
blr_5f7153e524c98d4e,MS Palaya,ms palaya area,MS Palaya,,mixed
blr_b8d3ca902ed8488f,Indiranagar 1st Stage,indira nagar 1st stage,Indiranagar 1st Stage,,mixed
blr_b8d3ca902ed8488f,Indiranagar 1st Stage,indir nagar 1st stage,Indiranagar 1st Stage,,mixed
blr_b8d3ca902ed8488f,Indiranagar 1st Stage,indiranagar 1st stage,Indiranagar 1st Stage,,mixed
blr_b8d3ca902ed8488f,Indiranagar 1st Stage,in indira nagar 1st stage,Indiranagar 1st Stage,,mixed
blr_b8d3ca902ed8488f,Indiranagar 1st Stage,near indir nagar 1st stage,Indiranagar 1st Stage,,mixed
blr_9502caa1e9823755,Indiranagar 2nd Stage,indir nagar 2nd stage,Indiranagar 2nd Stage,,mixed
blr_9502caa1e9823755,Indiranagar 2nd Stage,indiranagar two stage,Indiranagar 2nd Stage,,mixed
blr_9502caa1e9823755,Indiranagar 2nd Stage,indiranagar second stage,Indiranagar 2nd Stage,,mixed
blr_9502caa1e9823755,Indiranagar 2nd Stage,indira nagar 2nd stage,Indiranagar 2nd Stage,,mixed
blr_9502caa1e9823755,Indiranagar 2nd Stage,indiranagar 2nd stage,Indiranagar 2nd Stage,,mixed
blr_718108861681e0d9,Domlur 1st Stage,domlur 1st stage,Domlur 1st Stage,,mixed
blr_718108861681e0d9,Domlur 1st Stage,in domlur 1st stage,Domlur 1st Stage,,mixed
blr_718108861681e0d9,Domlur 1st Stage,near domlur 1st stage,Domlur 1st Stage,,mixed
blr_718108861681e0d9,Domlur 1st Stage,around domlur 1st stage,Domlur 1st Stage,,mixed
blr_718108861681e0d9,Domlur 1st Stage,domlur 1st stage area,Domlur 1st Stage,,mixed
blr_8585e3948858a67d,NR Colony,nr colony,NR Colony,,mixed
blr_8585e3948858a67d,NR Colony,in nr colony,NR Colony,,mixed
blr_8585e3948858a67d,NR Colony,near nr colony,NR Colony,,mixed
blr_8585e3948858a67d,NR Colony,around nr colony,NR Colony,,mixed
blr_8585e3948858a67d,NR Colony,nr colony area,NR Colony,,mixed
blr_f341cc59a87ecd10,RMV 2nd Stage,rmv second stage,RMV 2nd Stage,,mixed
blr_f341cc59a87ecd10,RMV 2nd Stage,rmv 2nd stage,RMV 2nd Stage,,mixed
blr_f341cc59a87ecd10,RMV 2nd Stage,rmv two stage,RMV 2nd Stage,,mixed
blr_f341cc59a87ecd10,RMV 2nd Stage,in rmv second stage,RMV 2nd Stage,,mixed
blr_f341cc59a87ecd10,RMV 2nd Stage,near rmv 2nd stage,RMV 2nd Stage,,mixed
blr_ce7143eea83b5a01,RMV 2nd Stage 2nd Block,rmv 2nd stage 2nd block,RMV 2nd Stage 2nd Block,,mixed
blr_ce7143eea83b5a01,RMV 2nd Stage 2nd Block,rmv two stage two block,RMV 2nd Stage 2nd Block,,mixed
blr_ce7143eea83b5a01,RMV 2nd Stage 2nd Block,rmv second stage second block,RMV 2nd Stage 2nd Block,,mixed
blr_ce7143eea83b5a01,RMV 2nd Stage 2nd Block,in rmv 2nd stage 2nd block,RMV 2nd Stage 2nd Block,,mixed
blr_ce7143eea83b5a01,RMV 2nd Stage 2nd Block,near rmv two stage two block,RMV 2nd Stage 2nd Block,,mixed
blr_1f9b6f3048b5ecec,Arkavathy Layout 7th Block,arkavathy layout 7th block,Arkavathy Layout 7th Block,,mixed
blr_1f9b6f3048b5ecec,Arkavathy Layout 7th Block,arkavathy layout seven block,Arkavathy Layout 7th Block,,mixed
blr_1f9b6f3048b5ecec,Arkavathy Layout 7th Block,arkavathy layout seventh block,Arkavathy Layout 7th Block,,mixed
blr_1f9b6f3048b5ecec,Arkavathy Layout 7th Block,in arkavathy layout 7th block,Arkavathy Layout 7th Block,,mixed
blr_1f9b6f3048b5ecec,Arkavathy Layout 7th Block,near arkavathy layout seven block,Arkavathy Layout 7th Block,,mixed
blr_8cfdb4668d27ddf0,Arkavathy Layout 1st Block,arkavathy layout 1st block,Arkavathy Layout 1st Block,,mixed
blr_8cfdb4668d27ddf0,Arkavathy Layout 1st Block,in arkavathy layout 1st block,Arkavathy Layout 1st Block,,mixed
blr_8cfdb4668d27ddf0,Arkavathy Layout 1st Block,near arkavathy layout 1st block,Arkavathy Layout 1st Block,,mixed
blr_8cfdb4668d27ddf0,Arkavathy Layout 1st Block,around arkavathy layout 1st block,Arkavathy Layout 1st Block,,mixed
blr_8cfdb4668d27ddf0,Arkavathy Layout 1st Block,arkavathy layout 1st block area,Arkavathy Layout 1st Block,,mixed
blr_02bd5b372a19b1a3,Arkavathy Layout 3rd Block,arkavathy layout three block,Arkavathy Layout 3rd Block,,mixed
blr_02bd5b372a19b1a3,Arkavathy Layout 3rd Block,arkavathy layout 3rd block,Arkavathy Layout 3rd Block,,mixed
blr_02bd5b372a19b1a3,Arkavathy Layout 3rd Block,arkavathy layout third block,Arkavathy Layout 3rd Block,,mixed
blr_02bd5b372a19b1a3,Arkavathy Layout 3rd Block,in arkavathy layout three block,Arkavathy Layout 3rd Block,,mixed
blr_02bd5b372a19b1a3,Arkavathy Layout 3rd Block,near arkavathy layout 3rd block,Arkavathy Layout 3rd Block,,mixed
blr_407d7b3c3842ebae,MCECHS Layout,mcechs layout,MCECHS Layout,,mixed
blr_407d7b3c3842ebae,MCECHS Layout,in mcechs layout,MCECHS Layout,,mixed
blr_407d7b3c3842ebae,MCECHS Layout,near mcechs layout,MCECHS Layout,,mixed
blr_407d7b3c3842ebae,MCECHS Layout,around mcechs layout,MCECHS Layout,,mixed
blr_407d7b3c3842ebae,MCECHS Layout,mcechs layout area,MCECHS Layout,,mixed
blr_87f74ce52677f37c,HMT Watch Factory Colony,hmt watch factory colony,HMT Watch Factory Colony,,mixed
blr_87f74ce52677f37c,HMT Watch Factory Colony,in hmt watch factory colony,HMT Watch Factory Colony,,mixed
blr_87f74ce52677f37c,HMT Watch Factory Colony,near hmt watch factory colony,HMT Watch Factory Colony,,mixed
blr_87f74ce52677f37c,HMT Watch Factory Colony,around hmt watch factory colony,HMT Watch Factory Colony,,mixed
blr_87f74ce52677f37c,HMT Watch Factory Colony,hmt watch factory colony area,HMT Watch Factory Colony,,mixed
blr_58eac596700b21cb,Vinayaka Nagar B Block,vinayaka nagar b block,Vinayaka Nagar B Block,,mixed
blr_58eac596700b21cb,Vinayaka Nagar B Block,in vinayaka nagar b block,Vinayaka Nagar B Block,,mixed
blr_58eac596700b21cb,Vinayaka Nagar B Block,near vinayaka nagar b block,Vinayaka Nagar B Block,,mixed
blr_58eac596700b21cb,Vinayaka Nagar B Block,around vinayaka nagar b block,Vinayaka Nagar B Block,,mixed
blr_58eac596700b21cb,Vinayaka Nagar B Block,vinayaka nagar b block area,Vinayaka Nagar B Block,,mixed
blr_b5260fd71478436a,CNR Layout,cnr layout,CNR Layout,,mixed
blr_b5260fd71478436a,CNR Layout,in cnr layout,CNR Layout,,mixed
blr_b5260fd71478436a,CNR Layout,near cnr layout,CNR Layout,,mixed
blr_b5260fd71478436a,CNR Layout,around cnr layout,CNR Layout,,mixed
blr_b5260fd71478436a,CNR Layout,cnr layout area,CNR Layout,,mixed
blr_23cb0cc4c9ec7fb1,MSR Nagar,msr nagar,MSR Nagar,,mixed
blr_23cb0cc4c9ec7fb1,MSR Nagar,in msr nagar,MSR Nagar,,mixed
blr_23cb0cc4c9ec7fb1,MSR Nagar,near msr nagar,MSR Nagar,,mixed
blr_23cb0cc4c9ec7fb1,MSR Nagar,around msr nagar,MSR Nagar,,mixed
blr_23cb0cc4c9ec7fb1,MSR Nagar,msr nagar area,MSR Nagar,,mixed
blr_280905108f578417,Peenya 2nd Stage,peenya 2nd stage,Peenya 2nd Stage,,mixed
blr_280905108f578417,Peenya 2nd Stage,peenya two stage,Peenya 2nd Stage,,mixed
blr_280905108f578417,Peenya 2nd Stage,peenya second stage,Peenya 2nd Stage,,mixed
blr_280905108f578417,Peenya 2nd Stage,in peenya 2nd stage,Peenya 2nd Stage,,mixed
blr_280905108f578417,Peenya 2nd Stage,near peenya two stage,Peenya 2nd Stage,,mixed
blr_544b774aa219c848,C V Raman Nagar,c v raman nagar,C V Raman Nagar,,mixed
blr_544b774aa219c848,C V Raman Nagar,in c v raman nagar,C V Raman Nagar,,mixed
blr_544b774aa219c848,C V Raman Nagar,near c v raman nagar,C V Raman Nagar,,mixed
blr_544b774aa219c848,C V Raman Nagar,around c v raman nagar,C V Raman Nagar,,mixed
blr_544b774aa219c848,C V Raman Nagar,c v raman nagar area,C V Raman Nagar,,mixed
blr_96d35f6ba47b0137,L.R. Nagar 1st Stage,lr nagar 1st stage,L.R. Nagar 1st Stage,,mixed
blr_96d35f6ba47b0137,L.R. Nagar 1st Stage,in lr nagar 1st stage,L.R. Nagar 1st Stage,,mixed
blr_96d35f6ba47b0137,L.R. Nagar 1st Stage,near lr nagar 1st stage,L.R. Nagar 1st Stage,,mixed
blr_96d35f6ba47b0137,L.R. Nagar 1st Stage,around lr nagar 1st stage,L.R. Nagar 1st Stage,,mixed
blr_96d35f6ba47b0137,L.R. Nagar 1st Stage,lr nagar 1st stage area,L.R. Nagar 1st Stage,,mixed
blr_225834fa4b001848,L.R. Nagar 2nd Stage,lr nagar 2nd stage,L.R. Nagar 2nd Stage,,mixed
blr_225834fa4b001848,L.R. Nagar 2nd Stage,lr nagar two stage,L.R. Nagar 2nd Stage,,mixed
blr_225834fa4b001848,L.R. Nagar 2nd Stage,lr nagar second stage,L.R. Nagar 2nd Stage,,mixed
blr_225834fa4b001848,L.R. Nagar 2nd Stage,in lr nagar 2nd stage,L.R. Nagar 2nd Stage,,mixed
blr_225834fa4b001848,L.R. Nagar 2nd Stage,near lr nagar two stage,L.R. Nagar 2nd Stage,,mixed
blr_dfc738c2155713bc,AECS Layout,aecs layout,AECS Layout,,mixed
blr_dfc738c2155713bc,AECS Layout,in aecs layout,AECS Layout,,mixed
blr_dfc738c2155713bc,AECS Layout,near aecs layout,AECS Layout,,mixed
blr_dfc738c2155713bc,AECS Layout,around aecs layout,AECS Layout,,mixed
blr_dfc738c2155713bc,AECS Layout,aecs layout area,AECS Layout,,mixed
blr_3f6dbbb0544df4cc,Domlur 2nd Stage,domlur second stage,Domlur 2nd Stage,,mixed
blr_3f6dbbb0544df4cc,Domlur 2nd Stage,domlur 2nd stage,Domlur 2nd Stage,,mixed
blr_3f6dbbb0544df4cc,Domlur 2nd Stage,domlur two stage,Domlur 2nd Stage,,mixed
blr_3f6dbbb0544df4cc,Domlur 2nd Stage,in domlur second stage,Domlur 2nd Stage,,mixed
blr_3f6dbbb0544df4cc,Domlur 2nd Stage,near domlur 2nd stage,Domlur 2nd Stage,,mixed
blr_b1dbf87f7df6b76f,KHR Colony,khr colony,KHR Colony,,mixed
blr_b1dbf87f7df6b76f,KHR Colony,in khr colony,KHR Colony,,mixed
blr_b1dbf87f7df6b76f,KHR Colony,near khr colony,KHR Colony,,mixed
blr_b1dbf87f7df6b76f,KHR Colony,around khr colony,KHR Colony,,mixed
blr_b1dbf87f7df6b76f,KHR Colony,khr colony area,KHR Colony,,mixed
blr_1f1b200db1d20f7b,AGS Layout,ags layout,AGS Layout,,mixed
blr_1f1b200db1d20f7b,AGS Layout,in ags layout,AGS Layout,,mixed
blr_1f1b200db1d20f7b,AGS Layout,near ags layout,AGS Layout,,mixed
blr_1f1b200db1d20f7b,AGS Layout,around ags layout,AGS Layout,,mixed
blr_1f1b200db1d20f7b,AGS Layout,ags layout area,AGS Layout,,mixed
blr_b93500fd5ed87809,HMT Layout,hmt layout,HMT Layout,,mixed
blr_b93500fd5ed87809,HMT Layout,in hmt layout,HMT Layout,,mixed
blr_b93500fd5ed87809,HMT Layout,near hmt layout,HMT Layout,,mixed
blr_b93500fd5ed87809,HMT Layout,around hmt layout,HMT Layout,,mixed
blr_b93500fd5ed87809,HMT Layout,hmt layout area,HMT Layout,,mixed
blr_936a4de68a2484dd,VV Nagar,vv nagar,VV Nagar,,mixed
blr_936a4de68a2484dd,VV Nagar,in vv nagar,VV Nagar,,mixed
blr_936a4de68a2484dd,VV Nagar,near vv nagar,VV Nagar,,mixed
blr_936a4de68a2484dd,VV Nagar,around vv nagar,VV Nagar,,mixed
blr_936a4de68a2484dd,VV Nagar,vv nagar area,VV Nagar,,mixed
blr_c8d672d419765b84,Sector A,sector a,Sector A,,mixed
blr_c8d672d419765b84,Sector A,in sector a,Sector A,,mixed
blr_c8d672d419765b84,Sector A,near sector a,Sector A,,mixed
blr_c8d672d419765b84,Sector A,around sector a,Sector A,,mixed
blr_c8d672d419765b84,Sector A,sector a area,Sector A,,mixed
blr_29304ed2ba184040,Sector B,sector b,Sector B,,mixed
blr_29304ed2ba184040,Sector B,in sector b,Sector B,,mixed
blr_29304ed2ba184040,Sector B,near sector b,Sector B,,mixed
blr_29304ed2ba184040,Sector B,around sector b,Sector B,,mixed
blr_29304ed2ba184040,Sector B,sector b area,Sector B,,mixed
blr_6dccbf5997eafb13,4th Phase,fourth phase,4th Phase,,mixed
blr_6dccbf5997eafb13,4th Phase,four phase,4th Phase,,mixed
blr_6dccbf5997eafb13,4th Phase,4th phase,4th Phase,,mixed
blr_6dccbf5997eafb13,4th Phase,in fourth phase,4th Phase,,mixed
blr_6dccbf5997eafb13,4th Phase,near four phase,4th Phase,,mixed
blr_21427da6745b3b1b,5th Phase,5th phase,5th Phase,,mixed
blr_21427da6745b3b1b,5th Phase,fifth phase,5th Phase,,mixed
blr_21427da6745b3b1b,5th Phase,five phase,5th Phase,,mixed
blr_21427da6745b3b1b,5th Phase,in 5th phase,5th Phase,,mixed
blr_21427da6745b3b1b,5th Phase,near fifth phase,5th Phase,,mixed
blr_266c73e5bef044d0,KHB Colony,khb colony,KHB Colony,,mixed
blr_266c73e5bef044d0,KHB Colony,in khb colony,KHB Colony,,mixed
blr_266c73e5bef044d0,KHB Colony,near khb colony,KHB Colony,,mixed
blr_266c73e5bef044d0,KHB Colony,around khb colony,KHB Colony,,mixed
